scheme_code,scheme_name,fund_house,scheme_category,raw_json,source_file,processed_timestamp
122234,Birla Sun Life Fixed Term Plan - Series GT (366 days) - Regular Plan-Growth,,,,fund_master.csv,2026-06-03T08:25:50Z
122352,Birla Sun Life Fixed Term Plan - Series GU (368 days) - Regular Plan-Normal Dividend,,,,fund_master.csv,2026-06-03T08:25:50Z
105217,ICICI Prudential FMP series 37 - 3 Mths Plus Plan A - Retail Dividend Option,,,,fund_master.csv,2026-06-03T08:25:50Z
122224,DWS Gilt Fund - Direct Plan - Half Yearly Bonus,,,,fund_master.csv,2026-06-03T08:25:50Z
123628,ICICI Prudential Fixed Maturity Plan-Series 69-369 Days Plan J - Cumulative,,,,fund_master.csv,2026-06-03T08:25:50Z
123708,Groww Short Term Fund (formerly known as Indiabulls Short Term Fund )- Regular Plan - Growth Option,,,INF666M01AJ5,fund_master.csv,2026-06-03T08:25:50Z
140039,UTI FTIF Series XXV-VIII (1100 Days)- Regular Plan - Growth Option,,,,fund_master.csv,2026-06-03T08:25:50Z
122370,UTI-FMP-Yearly Series Apr 2013 - Growth Option - Direct,,,,fund_master.csv,2026-06-03T08:25:50Z
122314,JM Floater Short Term Fund (Direct) - Bonus Option - Principal Units,,,,fund_master.csv,2026-06-03T08:25:50Z
105220,ICICI Prudential FMP series 34 - 1 Year Plan B - Retail Growth Option,,,,fund_master.csv,2026-06-03T08:25:50Z
105216,ICICI Prudential FMP series 37 - 1 Year Plan A - Retail Dividend Option,,,,fund_master.csv,2026-06-03T08:25:50Z
127935,HDFC FMP 435D March 2014 (1)-Direct Option-Growth Option,,,,fund_master.csv,2026-06-03T08:25:50Z
122190,HDFC FMP 370D April 2013 (2)-Direct Option-Dividend Option,,,,fund_master.csv,2026-06-03T08:25:50Z
122157,Sundaram Fixed Term Plan DG  - Direct - Dividend Payout,,,,fund_master.csv,2026-06-03T08:25:50Z
152893,Baroda BNP Paribas Credit Risk Fund-Defunct -Daily IDCW option - seg Portfolio 2 (erstwhile BBNPP Medium Duration fund Defunct Daily IDCW daily option Seg Portfolio 1),,,,fund_master.csv,2026-06-03T08:25:50Z
154194,Baroda BNP Paribas Best-in-Class Strategy Fund - Regular - Growth Option,,,INF251K01VM0,fund_master.csv,2026-06-03T08:25:50Z
142892,Tata Fixed Maturity Plan Series 53 Scheme A Direct Plan Growth,,,,fund_master.csv,2026-06-03T08:25:50Z
122220,DWS Banking and PSU Debt fund - Quarterly Bonus,,,,fund_master.csv,2026-06-03T08:25:50Z
122264,DHFL Pramerica Short Term Income Fund-Direct Plan-Bonus Option,,,,fund_master.csv,2026-06-03T08:25:50Z
141309,UTI FTIF Series XXVI-XIII (1124 Days)- Direct Plan - Maturity Div Option,,,,fund_master.csv,2026-06-03T08:25:50Z
