date,nav,scheme_code,fund_house,scheme_category,scheme_name
2013-01-02,11.0142,118778,Nippon India Mutual Fund,Equity Scheme - Small Cap Fund,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option
2013-01-03,11.0148,118778,Nippon India Mutual Fund,Equity Scheme - Small Cap Fund,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option
2013-01-04,10.9825,118778,Nippon India Mutual Fund,Equity Scheme - Small Cap Fund,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option
2013-01-07,11.0243,118778,Nippon India Mutual Fund,Equity Scheme - Small Cap Fund,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option
2013-01-08,10.9758,118778,Nippon India Mutual Fund,Equity Scheme - Small Cap Fund,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option
2013-01-09,10.9664,118778,Nippon India Mutual Fund,Equity Scheme - Small Cap Fund,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option
2013-01-10,10.9142,118778,Nippon India Mutual Fund,Equity Scheme - Small Cap Fund,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option
2013-01-11,10.7764,118778,Nippon India Mutual Fund,Equity Scheme - Small Cap Fund,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option
2013-01-14,10.8353,118778,Nippon India Mutual Fund,Equity Scheme - Small Cap Fund,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option
2013-01-15,10.8459,118778,Nippon India Mutual Fund,Equity Scheme - Small Cap Fund,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option
2013-01-16,10.7144,118778,Nippon India Mutual Fund,Equity Scheme - Small Cap Fund,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option
2013-01-17,10.7351,118778,Nippon India Mutual Fund,Equity Scheme - Small Cap Fund,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option
2013-01-18,10.5942,118778,Nippon India Mutual Fund,Equity Scheme - Small Cap Fund,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option
2013-01-21,10.5584,118778,Nippon India Mutual Fund,Equity Scheme - Small Cap Fund,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option
2013-01-22,10.5337,118778,Nippon India Mutual Fund,Equity Scheme - Small Cap Fund,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option
2013-01-23,10.4815,118778,Nippon India Mutual Fund,Equity Scheme - Small Cap Fund,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option
2013-01-24,10.3167,118778,Nippon India Mutual Fund,Equity Scheme - Small Cap Fund,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option
2013-01-25,10.3737,118778,Nippon India Mutual Fund,Equity Scheme - Small Cap Fund,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option
2013-01-28,10.3185,118778,Nippon India Mutual Fund,Equity Scheme - Small Cap Fund,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option
2013-01-29,10.315,118778,Nippon India Mutual Fund,Equity Scheme - Small Cap Fund,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option
2013-01-30,10.3056,118778,Nippon India Mutual Fund,Equity Scheme - Small Cap Fund,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option
2013-01-31,10.3045,118778,Nippon India Mutual Fund,Equity Scheme - Small Cap Fund,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option
2013-02-01,10.2916,118778,Nippon India Mutual Fund,Equity Scheme - Small Cap Fund,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option
2013-02-04,10.244,118778,Nippon India Mutual Fund,Equity Scheme - Small Cap Fund,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option
2013-02-05,10.192,118778,Nippon India Mutual Fund,Equity Scheme - Small Cap Fund,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option
2013-02-06,10.2585,118778,Nippon India Mutual Fund,Equity Scheme - Small Cap Fund,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option
2013-02-07,10.1897,118778,Nippon India Mutual Fund,Equity Scheme - Small Cap Fund,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option
2013-02-08,10.1414,118778,Nippon India Mutual Fund,Equity Scheme - Small Cap Fund,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option
2013-02-11,10.1719,118778,Nippon India Mutual Fund,Equity Scheme - Small Cap Fund,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option
2013-02-12,10.1265,118778,Nippon India Mutual Fund,Equity Scheme - Small Cap Fund,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option
2013-02-13,10.0289,118778,Nippon India Mutual Fund,Equity Scheme - Small Cap Fund,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option
2013-02-14,9.9404,118778,Nippon India Mutual Fund,Equity Scheme - Small Cap Fund,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option
2013-02-15,9.9102,118778,Nippon India Mutual Fund,Equity Scheme - Small Cap Fund,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option
2013-02-18,9.9643,118778,Nippon India Mutual Fund,Equity Scheme - Small Cap Fund,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option
2013-02-19,10.0467,118778,Nippon India Mutual Fund,Equity Scheme - Small Cap Fund,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option
2013-02-20,10.073,118778,Nippon India Mutual Fund,Equity Scheme - Small Cap Fund,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option
2013-02-21,9.957,118778,Nippon India Mutual Fund,Equity Scheme - Small Cap Fund,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option
2013-02-22,9.9763,118778,Nippon India Mutual Fund,Equity Scheme - Small Cap Fund,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option
2013-02-25,9.9215,118778,Nippon India Mutual Fund,Equity Scheme - Small Cap Fund,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option
2013-02-26,9.7503,118778,Nippon India Mutual Fund,Equity Scheme - Small Cap Fund,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option
2013-02-27,9.7767,118778,Nippon India Mutual Fund,Equity Scheme - Small Cap Fund,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option
2013-02-28,9.6431,118778,Nippon India Mutual Fund,Equity Scheme - Small Cap Fund,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option
2013-03-01,9.6426,118778,Nippon India Mutual Fund,Equity Scheme - Small Cap Fund,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option
2013-03-04,9.5126,118778,Nippon India Mutual Fund,Equity Scheme - Small Cap Fund,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option
2013-03-05,9.6462,118778,Nippon India Mutual Fund,Equity Scheme - Small Cap Fund,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option
2013-03-06,9.7414,118778,Nippon India Mutual Fund,Equity Scheme - Small Cap Fund,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option
2013-03-07,9.7743,118778,Nippon India Mutual Fund,Equity Scheme - Small Cap Fund,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option
2013-03-08,9.8343,118778,Nippon India Mutual Fund,Equity Scheme - Small Cap Fund,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option
2013-03-11,9.8986,118778,Nippon India Mutual Fund,Equity Scheme - Small Cap Fund,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option
2013-03-12,9.8813,118778,Nippon India Mutual Fund,Equity Scheme - Small Cap Fund,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option
2013-03-13,9.7696,118778,Nippon India Mutual Fund,Equity Scheme - Small Cap Fund,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option
2013-03-14,9.7862,118778,Nippon India Mutual Fund,Equity Scheme - Small Cap Fund,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option
2013-03-15,9.694,118778,Nippon India Mutual Fund,Equity Scheme - Small Cap Fund,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option
2013-03-18,9.6593,118778,Nippon India Mutual Fund,Equity Scheme - Small Cap Fund,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option
2013-03-19,9.5978,118778,Nippon India Mutual Fund,Equity Scheme - Small Cap Fund,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option
2013-03-20,9.402,118778,Nippon India Mutual Fund,Equity Scheme - Small Cap Fund,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option
2013-03-21,9.2968,118778,Nippon India Mutual Fund,Equity Scheme - Small Cap Fund,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option
2013-03-22,9.2384,118778,Nippon India Mutual Fund,Equity Scheme - Small Cap Fund,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option
2013-03-25,9.206,118778,Nippon India Mutual Fund,Equity Scheme - Small Cap Fund,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option
2013-03-26,9.2631,118778,Nippon India Mutual Fund,Equity Scheme - Small Cap Fund,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option
2013-03-28,9.3514,118778,Nippon India Mutual Fund,Equity Scheme - Small Cap Fund,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option
2013-04-01,9.4991,118778,Nippon India Mutual Fund,Equity Scheme - Small Cap Fund,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option
2013-04-02,9.6662,118778,Nippon India Mutual Fund,Equity Scheme - Small Cap Fund,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option
2013-04-03,9.6054,118778,Nippon India Mutual Fund,Equity Scheme - Small Cap Fund,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option
